Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
medicine,expert,team,phd,introvert,intuitive,low,fluent,collaborative,low,full stack developer
science,beginner,remote,diploma,extrovert,creative,very high,poor,strong,very high,automation engineer
medicine,intermediate,office,diploma,introvert,analytical,high,excellent,strong,medium,algorithm engineer
business,beginner,remote,bachelors,leader,logical,high,average,strong,very high,ml engineer
art,intermediate,team,bachelors,leader,practical,low,average,strong,low,devops engineer
science,intermediate,office,phd,thinker,logical,high,outstanding,collaborative,exceptional,site reliability engineer
technology,intermediate,team,bachelors,thinker,practical,very high,fluent,visionary,exceptional,financial analyst
science,beginner,office,high school,introvert,intuitive,very high,poor,collaborative,low,ai ethics researcher
science,advanced,remote,masters,doer,analytical,very high,outstanding,collaborative,low,algorithm engineer
medicine,beginner,flexible,diploma,doer,intuitive,very high,average,visionary,high,technical writer
art,advanced,team,masters,thinker,logical,medium,fluent,collaborative,medium,virtual reality developer
science,beginner,team,diploma,doer,intuitive,high,outstanding,collaborative,medium,ui/ux designer
business,beginner,office,phd,extrovert,practical,medium,average,collaborative,low,site reliability engineer
business,advanced,solo,phd,extrovert,practical,high,excellent,collaborative,exceptional,virtual reality developer
art,advanced,flexible,masters,introvert,creative,very high,outstanding,moderate,exceptional,financial analyst
science,intermediate,solo,masters,doer,analytical,high,outstanding,collaborative,very high,technical writer
medicine,expert,solo,high school,leader,analytical,medium,average,visionary,high,ai researcher
technology,beginner,team,bachelors,introvert,creative,low,average,visionary,high,blockchain developer
business,advanced,solo,diploma,doer,creative,low,outstanding,strong,very high,deep learning engineer
science,beginner,office,phd,doer,logical,medium,excellent,collaborative,very high,augmented reality developer
science,intermediate,remote,high school,leader,intuitive,very high,excellent,strong,medium,virtual reality developer
science,advanced,remote,phd,doer,intuitive,very high,poor,collaborative,very high,virtual reality developer
art,expert,office,masters,doer,creative,medium,poor,moderate,low,cybersecurity analyst
art,expert,flexible,masters,extrovert,logical,high,excellent,collaborative,very high,devops engineer
science,intermediate,flexible,phd,extrovert,practical,very high,average,moderate,low,qa engineer
art,advanced,team,phd,extrovert,logical,low,average,visionary,exceptional,solutions architect
science,advanced,office,bachelors,extrovert,intuitive,medium,outstanding,collaborative,high,speech recognition specialist
medicine,advanced,team,diploma,extrovert,logical,very high,excellent,moderate,very high,nlp engineer
medicine,intermediate,flexible,diploma,extrovert,logical,low,poor,collaborative,medium,data scientist
science,beginner,solo,bachelors,introvert,intuitive,high,outstanding,visionary,low,business analyst
science,advanced,team,diploma,doer,analytical,medium,outstanding,collaborative,medium,bioinformatics scientist
technology,advanced,remote,masters,thinker,creative,low,excellent,collaborative,high,algorithm engineer
medicine,intermediate,team,masters,introvert,creative,high,excellent,collaborative,low,embedded systems engineer
art,expert,team,high school,leader,logical,low,average,visionary,low,blockchain developer
art,intermediate,team,high school,introvert,creative,medium,average,collaborative,high,network engineer
technology,expert,solo,phd,doer,practical,low,average,moderate,high,data scientist
science,advanced,remote,diploma,doer,logical,very high,outstanding,collaborative,exceptional,computer vision engineer
medicine,advanced,office,phd,introvert,creative,very high,outstanding,collaborative,very high,web developer
medicine,beginner,office,bachelors,leader,intuitive,medium,fluent,moderate,exceptional,cloud architect
art,advanced,team,masters,introvert,creative,low,poor,moderate,high,hardware engineer
medicine,beginner,team,phd,doer,logical,low,average,moderate,medium,data engineer
business,beginner,solo,bachelors,extrovert,intuitive,high,poor,visionary,medium,system architect
technology,advanced,remote,bachelors,leader,intuitive,medium,average,collaborative,medium,site reliability engineer
science,beginner,office,diploma,doer,logical,very high,fluent,moderate,medium,ai researcher
technology,intermediate,team,high school,leader,creative,high,fluent,moderate,low,mobile app developer
science,advanced,flexible,high school,introvert,analytical,very high,outstanding,visionary,exceptional,computer vision engineer
science,intermediate,office,diploma,doer,logical,medium,poor,collaborative,low,software engineer
science,expert,office,diploma,doer,logical,low,excellent,strong,exceptional,cloud architect
medicine,advanced,team,diploma,leader,intuitive,high,outstanding,collaborative,very high,bioinformatics scientist
medicine,advanced,remote,masters,extrovert,logical,medium,outstanding,moderate,medium,cybersecurity analyst
science,beginner,office,phd,doer,analytical,medium,fluent,strong,exceptional,hardware engineer
science,advanced,team,masters,leader,logical,very high,excellent,visionary,medium,ai ethics researcher
art,beginner,solo,phd,introvert,practical,medium,excellent,collaborative,low,hardware engineer
technology,advanced,flexible,masters,introvert,logical,very high,average,strong,low,iot specialist
medicine,advanced,office,phd,extrovert,intuitive,very high,poor,collaborative,medium,software engineer
science,expert,solo,bachelors,introvert,creative,low,fluent,collaborative,very high,research scientist
business,expert,team,phd,extrovert,intuitive,medium,outstanding,collaborative,very high,network engineer
technology,beginner,remote,phd,doer,practical,high,poor,visionary,high,algorithm engineer
business,advanced,team,diploma,introvert,analytical,high,excellent,strong,low,financial analyst
art,advanced,office,masters,introvert,logical,high,fluent,visionary,medium,cybersecurity analyst
science,intermediate,remote,diploma,doer,creative,high,average,collaborative,high,cloud architect
art,expert,solo,masters,leader,logical,high,outstanding,collaborative,exceptional,virtual reality developer
medicine,expert,remote,bachelors,introvert,logical,very high,fluent,collaborative,very high,ui/ux designer
science,intermediate,flexible,masters,introvert,creative,high,excellent,collaborative,medium,nlp engineer
science,advanced,remote,high school,leader,analytical,high,poor,collaborative,low,network engineer
business,beginner,office,diploma,introvert,intuitive,low,poor,strong,medium,mobile app developer
business,advanced,remote,phd,extrovert,logical,low,average,visionary,high,cybersecurity analyst
medicine,advanced,remote,bachelors,leader,intuitive,high,outstanding,strong,very high,game developer
medicine,intermediate,flexible,diploma,thinker,logical,high,poor,moderate,low,iot specialist
technology,advanced,office,diploma,leader,creative,high,poor,visionary,exceptional,product manager
business,intermediate,office,phd,thinker,creative,high,average,visionary,very high,ui/ux designer
business,intermediate,solo,masters,doer,logical,high,excellent,moderate,medium,automation engineer
medicine,advanced,team,masters,thinker,analytical,high,poor,moderate,low,technical writer
business,advanced,team,masters,introvert,practical,high,excellent,collaborative,low,iot specialist
business,beginner,office,high school,extrovert,analytical,low,average,collaborative,low,product manager
science,advanced,team,diploma,doer,analytical,low,outstanding,visionary,exceptional,embedded systems engineer
art,expert,solo,bachelors,extrovert,analytical,medium,fluent,collaborative,high,computer vision engineer
art,beginner,remote,masters,extrovert,creative,high,outstanding,strong,very high,ui/ux designer
science,advanced,team,diploma,leader,logical,high,poor,moderate,low,technical writer
business,beginner,office,bachelors,doer,analytical,low,average,visionary,low,iot specialist
medicine,advanced,solo,bachelors,extrovert,logical,medium,average,visionary,high,data scientist
technology,expert,office,bachelors,leader,creative,low,outstanding,collaborative,very high,hardware engineer
art,advanced,remote,diploma,leader,logical,low,poor,strong,medium,data analyst
technology,intermediate,remote,diploma,leader,creative,high,excellent,moderate,very high,hardware engineer
business,advanced,remote,phd,thinker,intuitive,medium,excellent,visionary,low,ai ethics researcher
medicine,advanced,solo,phd,extrovert,creative,very high,excellent,strong,high,iot specialist
technology,advanced,remote,bachelors,introvert,practical,very high,excellent,visionary,low,nlp engineer
technology,intermediate,flexible,bachelors,introvert,intuitive,low,fluent,moderate,exceptional,business analyst
technology,advanced,remote,high school,extrovert,logical,very high,average,moderate,high,deep learning engineer
technology,advanced,flexible,phd,thinker,creative,low,outstanding,visionary,exceptional,automation engineer
medicine,advanced,team,masters,thinker,creative,low,outstanding,strong,low,speech recognition specialist
technology,beginner,flexible,masters,extrovert,practical,very high,average,collaborative,very high,data analyst
medicine,expert,team,diploma,thinker,intuitive,high,excellent,visionary,exceptional,iot specialist
technology,expert,team,high school,thinker,analytical,low,average,strong,very high,embedded systems engineer
business,intermediate,team,diploma,leader,intuitive,medium,average,strong,medium,data scientist
science,advanced,team,bachelors,introvert,creative,high,outstanding,collaborative,very high,qa engineer
medicine,advanced,remote,diploma,doer,creative,high,fluent,collaborative,very high,product manager
business,intermediate,remote,bachelors,extrovert,logical,high,fluent,strong,high,deep learning engineer
medicine,advanced,flexible,masters,extrovert,creative,high,outstanding,moderate,low,site reliability engineer
science,intermediate,flexible,masters,thinker,analytical,high,outstanding,collaborative,very high,cybersecurity analyst
science,intermediate,flexible,bachelors,extrovert,practical,very high,excellent,collaborative,high,cloud architect
medicine,beginner,solo,high school,doer,practical,very high,excellent,collaborative,very high,software engineer
medicine,intermediate,team,phd,thinker,logical,medium,excellent,moderate,medium,game developer
medicine,intermediate,flexible,masters,thinker,logical,high,outstanding,collaborative,medium,software engineer
art,advanced,flexible,high school,thinker,intuitive,low,average,visionary,low,embedded systems engineer
medicine,intermediate,remote,bachelors,extrovert,creative,low,outstanding,visionary,very high,embedded systems engineer
business,beginner,office,high school,thinker,logical,low,average,moderate,high,iot specialist
science,beginner,remote,diploma,extrovert,creative,high,excellent,strong,high,nlp engineer
business,advanced,office,bachelors,doer,logical,very high,excellent,collaborative,high,nlp engineer
medicine,beginner,office,high school,thinker,creative,low,average,strong,exceptional,game developer
technology,intermediate,remote,masters,introvert,intuitive,medium,outstanding,strong,medium,data scientist
science,advanced,office,phd,doer,creative,high,average,visionary,very high,business analyst
technology,advanced,remote,bachelors,doer,analytical,medium,excellent,collaborative,medium,data scientist
business,advanced,remote,masters,introvert,logical,high,outstanding,collaborative,exceptional,system architect
science,expert,remote,phd,doer,creative,medium,fluent,strong,high,game developer
technology,expert,team,diploma,introvert,intuitive,low,excellent,collaborative,exceptional,computer vision engineer
medicine,beginner,flexible,masters,leader,practical,medium,average,moderate,high,site reliability engineer
medicine,expert,solo,bachelors,introvert,creative,very high,poor,strong,high,qa engineer
technology,expert,team,diploma,doer,logical,low,poor,visionary,medium,cybersecurity analyst
science,advanced,flexible,high school,thinker,intuitive,high,poor,collaborative,exceptional,web developer
art,beginner,office,bachelors,doer,logical,low,average,moderate,high,data scientist
art,beginner,team,phd,introvert,analytical,medium,outstanding,moderate,exceptional,database administrator
medicine,expert,remote,phd,doer,logical,very high,poor,collaborative,very high,speech recognition specialist
science,advanced,solo,diploma,doer,logical,high,fluent,visionary,very high,devops engineer
business,expert,flexible,masters,introvert,intuitive,high,poor,moderate,high,software engineer
science,advanced,team,diploma,extrovert,analytical,high,fluent,visionary,low,database administrator
medicine,expert,remote,high school,doer,creative,low,fluent,strong,medium,bioinformatics scientist
business,advanced,remote,bachelors,extrovert,practical,medium,poor,visionary,medium,iot specialist
business,expert,office,high school,leader,intuitive,very high,fluent,collaborative,medium,automation engineer
business,advanced,remote,high school,extrovert,practical,high,fluent,strong,high,bioinformatics scientist
science,advanced,solo,phd,extrovert,intuitive,medium,average,collaborative,very high,ai ethics researcher
science,beginner,office,bachelors,thinker,intuitive,medium,average,collaborative,exceptional,technical writer
science,intermediate,flexible,diploma,extrovert,creative,very high,average,collaborative,low,virtual reality developer
business,advanced,team,bachelors,leader,logical,low,fluent,strong,low,qa engineer
technology,advanced,team,masters,doer,analytical,high,fluent,visionary,exceptional,data engineer
technology,advanced,team,masters,thinker,creative,medium,fluent,collaborative,low,deep learning engineer
business,expert,flexible,high school,introvert,logical,high,outstanding,collaborative,exceptional,data scientist
business,intermediate,solo,phd,thinker,intuitive,high,outstanding,collaborative,high,computer vision engineer
technology,advanced,office,high school,introvert,creative,medium,excellent,collaborative,exceptional,database administrator
medicine,intermediate,team,phd,introvert,practical,very high,average,visionary,exceptional,cybersecurity analyst
technology,intermediate,flexible,diploma,thinker,creative,high,poor,strong,very high,ui/ux designer
medicine,intermediate,remote,bachelors,introvert,practical,medium,fluent,moderate,high,automation engineer
technology,advanced,office,masters,leader,creative,medium,fluent,collaborative,medium,cybersecurity analyst
science,intermediate,office,bachelors,thinker,logical,medium,outstanding,moderate,low,site reliability engineer
art,beginner,team,bachelors,introvert,creative,very high,outstanding,collaborative,exceptional,cloud architect
technology,expert,flexible,bachelors,doer,intuitive,very high,poor,strong,very high,business analyst
technology,advanced,team,masters,introvert,intuitive,low,outstanding,moderate,exceptional,system architect
medicine,beginner,flexible,masters,thinker,practical,high,outstanding,visionary,medium,deep learning engineer
technology,advanced,flexible,diploma,introvert,practical,high,average,collaborative,very high,technical writer
science,advanced,flexible,phd,introvert,logical,high,poor,moderate,exceptional,data analyst
business,advanced,office,diploma,introvert,creative,low,outstanding,collaborative,high,bioinformatics scientist
science,expert,solo,diploma,leader,creative,low,average,visionary,low,computer vision engineer
business,intermediate,solo,bachelors,doer,analytical,low,average,visionary,exceptional,data scientist
art,intermediate,office,bachelors,thinker,intuitive,medium,average,collaborative,exceptional,deep learning engineer
business,intermediate,remote,masters,doer,analytical,medium,excellent,strong,very high,data scientist
art,advanced,team,masters,leader,practical,high,poor,collaborative,low,data engineer
medicine,intermediate,remote,phd,leader,analytical,very high,average,collaborative,low,deep learning engineer
medicine,beginner,remote,phd,extrovert,creative,low,excellent,moderate,low,deep learning engineer
medicine,beginner,remote,masters,leader,intuitive,high,outstanding,moderate,very high,site reliability engineer
science,intermediate,team,diploma,extrovert,logical,low,excellent,collaborative,exceptional,data engineer
technology,advanced,team,high school,leader,intuitive,medium,excellent,collaborative,high,mobile app developer
science,beginner,flexible,diploma,introvert,intuitive,very high,excellent,strong,very high,mobile app developer
business,beginner,office,phd,thinker,intuitive,low,fluent,collaborative,exceptional,robotics engineer
business,advanced,remote,diploma,leader,creative,high,outstanding,visionary,exceptional,database administrator
medicine,beginner,office,phd,doer,intuitive,very high,fluent,visionary,low,automation engineer
medicine,advanced,flexible,diploma,extrovert,analytical,low,fluent,collaborative,high,iot specialist
art,advanced,office,masters,thinker,practical,medium,average,moderate,low,bioinformatics scientist
technology,advanced,remote,phd,thinker,practical,low,fluent,collaborative,medium,embedded systems engineer
technology,advanced,solo,diploma,extrovert,logical,medium,fluent,collaborative,low,automation engineer
technology,advanced,team,phd,leader,practical,high,fluent,strong,very high,financial analyst
medicine,advanced,team,masters,doer,creative,medium,poor,collaborative,medium,financial analyst
business,intermediate,flexible,bachelors,thinker,practical,low,average,strong,exceptional,technical writer
science,intermediate,office,masters,leader,analytical,medium,excellent,collaborative,medium,technical writer
art,advanced,flexible,bachelors,extrovert,practical,low,average,collaborative,exceptional,cybersecurity analyst
science,expert,flexible,diploma,extrovert,intuitive,low,excellent,collaborative,high,site reliability engineer
business,advanced,office,masters,introvert,creative,high,fluent,strong,low,site reliability engineer
science,beginner,remote,bachelors,extrovert,analytical,very high,excellent,collaborative,very high,augmented reality developer
technology,expert,solo,diploma,thinker,analytical,low,fluent,visionary,high,embedded systems engineer
business,advanced,office,high school,leader,intuitive,very high,outstanding,strong,very high,site reliability engineer
art,advanced,remote,bachelors,introvert,analytical,high,outstanding,collaborative,exceptional,web developer
art,intermediate,team,diploma,introvert,creative,low,excellent,moderate,very high,robotics engineer
art,expert,flexible,diploma,doer,creative,low,poor,strong,exceptional,embedded systems engineer
technology,advanced,solo,bachelors,doer,intuitive,high,outstanding,moderate,high,devops engineer
technology,advanced,solo,masters,extrovert,creative,very high,poor,visionary,very high,business analyst
science,expert,remote,masters,extrovert,logical,high,poor,visionary,medium,hardware engineer
science,advanced,flexible,high school,doer,practical,medium,excellent,collaborative,exceptional,robotics engineer
science,intermediate,office,masters,introvert,intuitive,very high,fluent,strong,exceptional,robotics engineer
medicine,expert,solo,masters,leader,creative,high,fluent,strong,medium,database administrator
technology,intermediate,remote,diploma,leader,practical,very high,fluent,visionary,high,web developer
science,intermediate,solo,masters,doer,practical,medium,poor,moderate,exceptional,qa engineer
technology,expert,office,diploma,thinker,intuitive,high,fluent,collaborative,exceptional,site reliability engineer
technology,advanced,remote,high school,extrovert,creative,medium,outstanding,moderate,medium,ui/ux designer
technology,intermediate,flexible,masters,thinker,creative,medium,average,collaborative,medium,technical writer
science,advanced,team,high school,leader,creative,very high,average,collaborative,low,mobile app developer
science,advanced,remote,high school,leader,analytical,high,poor,moderate,very high,solutions architect
art,intermediate,solo,diploma,introvert,practical,very high,outstanding,collaborative,very high,cloud architect
medicine,expert,office,phd,introvert,logical,low,outstanding,collaborative,very high,technical writer
technology,advanced,solo,phd,introvert,intuitive,high,poor,visionary,very high,software engineer
technology,intermediate,flexible,high school,leader,practical,high,outstanding,strong,medium,cybersecurity analyst
medicine,intermediate,remote,bachelors,thinker,practical,medium,excellent,visionary,medium,deep learning engineer
business,intermediate,team,high school,introvert,analytical,medium,poor,strong,high,cybersecurity analyst
medicine,advanced,remote,diploma,leader,intuitive,very high,fluent,collaborative,high,algorithm engineer
science,advanced,office,high school,extrovert,analytical,low,excellent,moderate,very high,network engineer
medicine,intermediate,office,masters,leader,logical,very high,fluent,collaborative,high,database administrator
science,advanced,flexible,bachelors,extrovert,analytical,low,excellent,visionary,very high,product manager
business,advanced,solo,high school,doer,logical,high,poor,strong,very high,blockchain developer
technology,intermediate,remote,bachelors,extrovert,analytical,high,average,visionary,low,robotics engineer
business,expert,solo,bachelors,leader,analytical,high,poor,strong,exceptional,business analyst
art,beginner,solo,diploma,thinker,intuitive,very high,fluent,collaborative,exceptional,deep learning engineer
technology,advanced,solo,phd,introvert,logical,high,excellent,strong,very high,data analyst
business,expert,solo,high school,doer,practical,very high,average,visionary,high,ui/ux designer
science,intermediate,flexible,phd,thinker,practical,medium,excellent,moderate,very high,deep learning engineer
technology,intermediate,office,high school,thinker,logical,low,poor,collaborative,exceptional,computer vision engineer
science,expert,remote,masters,introvert,practical,very high,excellent,visionary,very high,ui/ux designer
business,advanced,flexible,phd,extrovert,analytical,high,average,collaborative,exceptional,algorithm engineer
art,intermediate,team,masters,thinker,intuitive,low,poor,visionary,medium,speech recognition specialist
technology,advanced,flexible,diploma,extrovert,analytical,high,outstanding,collaborative,low,technical writer
technology,intermediate,flexible,bachelors,extrovert,practical,high,excellent,collaborative,medium,devops engineer
business,expert,remote,high school,leader,practical,low,poor,moderate,low,speech recognition specialist
medicine,expert,remote,masters,extrovert,logical,very high,outstanding,moderate,high,data scientist
medicine,expert,flexible,high school,introvert,creative,high,outstanding,strong,exceptional,ui/ux designer
art,intermediate,flexible,masters,introvert,intuitive,low,excellent,visionary,exceptional,system architect
science,expert,remote,bachelors,leader,analytical,very high,poor,collaborative,high,data analyst
medicine,intermediate,remote,bachelors,leader,practical,low,excellent,visionary,very high,data engineer
technology,intermediate,team,diploma,thinker,analytical,high,excellent,moderate,exceptional,system architect
technology,advanced,remote,phd,doer,practical,low,fluent,moderate,very high,game developer
technology,beginner,remote,masters,leader,logical,high,poor,collaborative,very high,virtual reality developer
art,beginner,office,masters,doer,logical,high,average,collaborative,low,full stack developer
medicine,expert,team,high school,thinker,intuitive,medium,outstanding,collaborative,very high,qa engineer
art,beginner,remote,phd,doer,intuitive,high,fluent,collaborative,low,computer vision engineer
business,expert,office,phd,extrovert,creative,high,average,collaborative,exceptional,speech recognition specialist
medicine,intermediate,team,masters,introvert,analytical,low,outstanding,collaborative,high,automation engineer
business,intermediate,office,phd,introvert,intuitive,very high,outstanding,strong,high,computer vision engineer
business,advanced,flexible,masters,thinker,creative,low,poor,collaborative,low,data engineer
technology,expert,flexible,masters,thinker,analytical,very high,average,visionary,very high,game developer
science,advanced,remote,phd,introvert,creative,low,excellent,collaborative,exceptional,cybersecurity analyst
technology,advanced,remote,diploma,introvert,analytical,high,outstanding,moderate,exceptional,ui/ux designer
science,advanced,remote,masters,introvert,practical,high,fluent,moderate,very high,financial analyst
technology,expert,remote,diploma,doer,practical,high,outstanding,collaborative,high,product manager
science,beginner,office,phd,extrovert,intuitive,low,excellent,moderate,very high,robotics engineer
art,advanced,office,bachelors,doer,intuitive,low,poor,collaborative,high,system architect
business,advanced,flexible,bachelors,extrovert,creative,high,poor,strong,medium,embedded systems engineer
science,beginner,solo,masters,thinker,practical,high,outstanding,visionary,very high,software engineer
art,advanced,solo,bachelors,leader,practical,low,average,collaborative,medium,system architect
technology,expert,solo,high school,thinker,practical,very high,poor,collaborative,medium,cloud architect
science,expert,solo,high school,thinker,practical,high,average,collaborative,low,deep learning engineer
technology,expert,flexible,phd,introvert,intuitive,very high,average,visionary,very high,data analyst
art,advanced,solo,diploma,introvert,logical,medium,outstanding,moderate,very high,nlp engineer
business,beginner,remote,bachelors,leader,practical,medium,poor,strong,medium,product manager
technology,advanced,team,bachelors,extrovert,analytical,high,average,collaborative,low,virtual reality developer
art,advanced,solo,masters,leader,logical,high,average,strong,low,bioinformatics scientist
technology,advanced,office,bachelors,extrovert,intuitive,very high,fluent,strong,very high,algorithm engineer
business,advanced,team,diploma,introvert,intuitive,high,poor,collaborative,exceptional,web developer
art,advanced,office,masters,leader,practical,medium,fluent,visionary,high,hardware engineer
art,advanced,flexible,masters,extrovert,creative,very high,fluent,moderate,very high,ml engineer
technology,advanced,remote,bachelors,introvert,analytical,medium,outstanding,collaborative,high,ui/ux designer
medicine,expert,flexible,high school,introvert,intuitive,high,poor,collaborative,medium,site reliability engineer
art,beginner,office,bachelors,thinker,practical,medium,average,moderate,very high,software engineer
art,intermediate,solo,bachelors,thinker,creative,high,average,collaborative,medium,ml engineer
art,intermediate,flexible,diploma,leader,logical,medium,average,collaborative,low,bioinformatics scientist
technology,advanced,office,bachelors,thinker,practical,high,fluent,visionary,high,ai researcher
art,intermediate,remote,diploma,doer,creative,low,average,collaborative,high,network engineer
science,expert,office,masters,thinker,practical,very high,average,strong,exceptional,bioinformatics scientist
medicine,intermediate,team,diploma,introvert,practical,low,average,visionary,exceptional,deep learning engineer
science,expert,flexible,diploma,extrovert,intuitive,high,excellent,visionary,exceptional,data scientist
business,advanced,office,high school,doer,practical,medium,excellent,collaborative,exceptional,data scientist
science,intermediate,remote,high school,doer,practical,high,poor,collaborative,exceptional,web developer
science,beginner,office,bachelors,leader,analytical,high,fluent,visionary,low,ui/ux designer
art,intermediate,flexible,masters,doer,intuitive,low,average,collaborative,medium,cybersecurity analyst
science,advanced,flexible,high school,doer,creative,low,poor,strong,medium,data analyst
medicine,advanced,solo,diploma,extrovert,intuitive,high,excellent,strong,low,virtual reality developer
art,beginner,solo,high school,introvert,intuitive,high,average,visionary,medium,iot specialist
science,advanced,team,masters,doer,practical,high,average,strong,exceptional,iot specialist
business,expert,flexible,bachelors,extrovert,analytical,high,outstanding,strong,exceptional,site reliability engineer
technology,beginner,remote,high school,thinker,practical,high,average,collaborative,exceptional,data scientist
business,intermediate,office,phd,thinker,creative,low,average,visionary,medium,robotics engineer
medicine,intermediate,office,diploma,leader,logical,low,excellent,moderate,low,cybersecurity analyst
business,advanced,remote,masters,doer,practical,medium,excellent,moderate,exceptional,ai ethics researcher
technology,beginner,office,masters,extrovert,practical,high,average,strong,medium,game developer
technology,beginner,flexible,high school,introvert,creative,high,average,collaborative,medium,full stack developer
technology,intermediate,solo,high school,leader,intuitive,very high,outstanding,collaborative,very high,virtual reality developer
medicine,beginner,office,masters,leader,intuitive,high,fluent,visionary,very high,network engineer
technology,beginner,office,phd,introvert,practical,very high,outstanding,collaborative,exceptional,game developer
medicine,advanced,office,masters,introvert,creative,high,fluent,strong,very high,speech recognition specialist
medicine,advanced,solo,phd,leader,analytical,high,excellent,visionary,very high,financial analyst
technology,beginner,solo,diploma,leader,practical,very high,excellent,collaborative,low,financial analyst
art,beginner,flexible,masters,introvert,logical,low,poor,visionary,exceptional,site reliability engineer
art,expert,flexible,bachelors,introvert,logical,medium,average,collaborative,medium,devops engineer
business,advanced,flexible,bachelors,leader,logical,high,excellent,collaborative,low,qa engineer
science,advanced,flexible,diploma,doer,practical,very high,fluent,visionary,low,network engineer
art,beginner,solo,diploma,thinker,intuitive,medium,excellent,visionary,very high,deep learning engineer
medicine,advanced,office,bachelors,thinker,practical,high,outstanding,moderate,exceptional,cloud architect
business,intermediate,office,masters,extrovert,creative,medium,average,visionary,very high,devops engineer
business,advanced,remote,masters,doer,intuitive,very high,outstanding,strong,exceptional,business analyst
technology,advanced,solo,masters,leader,analytical,medium,average,collaborative,medium,automation engineer
technology,advanced,remote,bachelors,extrovert,analytical,very high,excellent,visionary,very high,research scientist
business,advanced,remote,high school,extrovert,creative,high,outstanding,visionary,exceptional,augmented reality developer
science,intermediate,office,bachelors,leader,intuitive,low,fluent,moderate,medium,mobile app developer
art,beginner,solo,masters,introvert,logical,low,poor,collaborative,low,system architect
science,advanced,solo,bachelors,extrovert,creative,very high,average,strong,exceptional,bioinformatics scientist
science,beginner,team,phd,doer,creative,very high,fluent,visionary,high,technical writer
technology,advanced,team,masters,introvert,analytical,very high,fluent,collaborative,very high,robotics engineer
technology,advanced,flexible,diploma,doer,analytical,high,fluent,collaborative,exceptional,ml engineer
business,advanced,remote,phd,introvert,practical,high,average,moderate,medium,hardware engineer
science,expert,office,high school,leader,analytical,high,excellent,moderate,medium,qa engineer
technology,expert,team,bachelors,introvert,creative,low,excellent,moderate,very high,web developer
medicine,intermediate,solo,masters,leader,creative,very high,fluent,collaborative,high,full stack developer
technology,advanced,remote,diploma,doer,logical,medium,average,collaborative,exceptional,automation engineer
technology,expert,office,phd,extrovert,creative,high,fluent,moderate,very high,software engineer
business,advanced,office,masters,thinker,intuitive,very high,average,visionary,high,web developer
art,beginner,office,masters,thinker,practical,high,fluent,collaborative,very high,full stack developer
science,beginner,solo,phd,introvert,logical,low,poor,moderate,low,data engineer
technology,intermediate,office,high school,extrovert,practical,low,average,strong,exceptional,devops engineer
science,beginner,solo,masters,introvert,analytical,medium,fluent,collaborative,medium,network engineer
technology,expert,solo,masters,introvert,intuitive,very high,poor,strong,low,ai ethics researcher
business,advanced,team,phd,leader,analytical,very high,outstanding,moderate,medium,data analyst
art,advanced,team,masters,leader,logical,high,fluent,visionary,exceptional,solutions architect
science,expert,solo,phd,extrovert,creative,high,average,visionary,high,virtual reality developer
medicine,intermediate,solo,phd,leader,intuitive,very high,excellent,visionary,low,hardware engineer
art,expert,office,bachelors,extrovert,practical,medium,outstanding,strong,high,technical writer
medicine,advanced,flexible,high school,introvert,practical,very high,fluent,moderate,exceptional,cloud architect
technology,advanced,flexible,diploma,extrovert,practical,medium,fluent,moderate,low,cloud architect
art,advanced,solo,high school,leader,practical,low,outstanding,moderate,low,technical writer
technology,beginner,team,masters,extrovert,analytical,medium,excellent,collaborative,exceptional,ui/ux designer
art,expert,office,masters,extrovert,analytical,very high,excellent,moderate,exceptional,computer vision engineer
technology,expert,team,masters,leader,logical,high,average,collaborative,medium,network engineer
art,expert,flexible,phd,doer,intuitive,high,outstanding,strong,high,robotics engineer
science,beginner,flexible,masters,introvert,practical,low,outstanding,strong,very high,augmented reality developer
science,advanced,remote,phd,introvert,analytical,very high,fluent,collaborative,very high,cloud architect
medicine,advanced,solo,bachelors,leader,practical,high,outstanding,collaborative,low,hardware engineer
technology,advanced,remote,masters,leader,analytical,high,fluent,strong,medium,financial analyst
art,expert,solo,bachelors,leader,logical,medium,fluent,strong,exceptional,ui/ux designer
technology,advanced,flexible,high school,doer,practical,medium,fluent,moderate,very high,blockchain developer
art,advanced,solo,bachelors,introvert,intuitive,low,poor,collaborative,very high,full stack developer
art,beginner,team,high school,thinker,intuitive,high,excellent,moderate,low,speech recognition specialist
business,expert,office,high school,introvert,logical,very high,excellent,collaborative,low,ai researcher
business,beginner,solo,diploma,introvert,creative,low,poor,collaborative,low,data engineer
technology,intermediate,flexible,phd,extrovert,intuitive,low,fluent,collaborative,high,augmented reality developer
business,expert,team,masters,doer,analytical,medium,outstanding,collaborative,medium,cybersecurity analyst
business,expert,solo,masters,thinker,creative,high,average,visionary,low,blockchain developer
art,expert,remote,phd,thinker,intuitive,medium,poor,visionary,low,data scientist
medicine,beginner,flexible,diploma,introvert,creative,very high,fluent,collaborative,high,nlp engineer
medicine,intermediate,office,masters,doer,logical,very high,fluent,moderate,high,system architect
medicine,expert,flexible,high school,introvert,creative,high,fluent,collaborative,low,data scientist
medicine,beginner,solo,phd,extrovert,analytical,high,excellent,visionary,high,hardware engineer
